post_text,date_first_posted,date_of_extract_last,n,condition,mean_reactions,mean_comments,mean_shares,mean_views,mean_reach,mean_impressions,link_clicks
Six instructional recommendati,2025-05-01T06:00:00Z,2025-05-02,28,Text Only,52.07142857142857,1,12.964285714285714,6920.428571428572,5083.321428571428,NA,186.14285714285714
Social Media Video - CEC Podca,2025-06-27T09:15:00Z,2025-06-27,9,BAU,32.111111111111114,0,8.666666666666666,1216.6666666666667,1019.7777777777778,NA,17.11111111111111
Special Education Parent Teach,2025-05-23T07:33:00Z,2025-05-23,21,BAU,10.571428571428571,0,5.095238095238095,2134.904761904762,1784.3809523809523,NA,1
Special education scores on th,2025-02-20T12:02:00Z,2025-05-02,3,BAU,16,0,7,3883.3333333333335,2875,NA,33
Stand up for special education,2025-05-13T06:27:00Z,2025-05-13,25,BAU,7,0,4,1220.28,1030.36,NA,3
Station learning can help to e,2025-05-29T06:00:00Z,2025-06-01,18,Text Only,4.833333333333333,0,1,1956.8333333333333,1467.611111111111,NA,18.833333333333332
Students with disabilities at,2025-06-26T06:00:00Z,2025-06-27,10,Text Only,60,0,17.7,6616.3,4938.2,NA,124.4
Students with disabilities can,2025-04-01T12:00:00Z,2025-04-01,38,TVA,118.63157894736842,3.8684210526315788,29.94736842105263,7709.842105263158,5364.8421052631575,NA,26.605263157894736
"Students with disabilities, li",2025-04-18T12:30:00Z,2025-05-18,29,BAU,57.275862068965516,8.620689655172415,7.862068965517241,6525.689655172414,4791.482758620689,NA,31.517241379310345
TOMORROW: Join CEC Senior Poli,2025-06-09T07:46:00Z,2025-06-19,13,BAU,37,6,32,5065.7692307692305,3262.769230769231,NA,41.84615384615385
TOMORROW: Join Stacie Dojonovi,2025-06-16T09:55:00Z,2025-06-19,13,BAU,12,0,6,2649.076923076923,1973.1538461538462,NA,13.615384615384615
Teacher Appreciation Week is M,2025-04-03T06:40:00Z,2025-04-04,36,BAU,111.61111111111111,3.9166666666666665,54.5,39322.63888888889,29384.444444444445,NA,262
Teacher Appreciation Week is r,2025-04-28T11:02:00Z,2025-04-29,24,BAU,12.833333333333334,0.9583333333333334,1.9583333333333333,2557,1808.625,NA,3.9583333333333335
Thank you to all of our wonder,2025-03-15T09:30:00Z,2025-03-16,39,BAU,110.05128205128206,5.487179487179487,9.897435897435898,5626.846153846154,3805.7179487179487,NA,39.02564102564103
Thank you to our 300+ attendee,2025-07-16T10:01:00Z,2025-04-30,6,BAU,43.666666666666664,1,3.3333333333333335,2053.3333333333335,1420.1666666666667,NA,2.3333333333333335
Thanks to our amazing communit,2025-05-16T11:02:00Z,2025-05-18,23,BAU,13.956521739130435,0,0,1574.9130434782608,1284.4782608695652,NA,1
The CEC Learning Library offer,2025-06-30T13:01:00Z,2025-07-11,8,BAU,8,0,4,1328.375,976.75,NA,NA
"The DBI framework, as applied",2025-05-08T12:00:00Z,2025-05-08,27,BAU,6.925925925925926,0,3,2439.6666666666665,1848.7777777777778,NA,33.851851851851855
The Math Frame is a strategy t,2025-04-15T06:00:00Z,2025-04-15,31,Text Only,13.870967741935484,0,5.774193548387097,1493.1612903225807,1073.9032258064517,NA,13.866666666666667
The U.S. Department of Educati,2025-06-02T14:33:00Z,2025-06-03,17,BAU,1013.7647058823529,126.52941176470588,468.70588235294116,53856.05882352941,27982.529411764706,NA,592.1764705882352
The framework described in the,2025-04-08T06:01:00Z,2025-04-08,34,TVA,24.441176470588236,1,12.852941176470589,4220.529411764706,3041.176470588235,NA,19.470588235294116
The future of special educatio,2025-06-23T08:44:00Z,2025-06-24,11,BAU,45.27272727272727,1,8.818181818181818,4559.727272727273,3425.5454545454545,NA,35.90909090909091
The nation continues to face a,2025-07-14T09:24:00Z,2025-04-30,6,BAU,138.16666666666666,10,48.333333333333336,11037.333333333334,6858.166666666667,NA,115.83333333333333
The next generation of special,2025-07-08T05:01:00Z,2025-07-11,8,BAU,11,0,3,1681.75,1190.125,NA,10.625
The number line is a powerful,2025-03-27T06:01:00Z,2025-03-27,35,TVA,39.628571428571426,0,10.971428571428572,4606.257142857143,3490.7714285714287,NA,37.68571428571428
